# device: DFS-X 100N (synthetic demo)
# horizon: fixed horizon, 20 s
t_s,force_N,latency_ms
1.611429,-0.4600,6.175
1.617143,-0.5000,5.477
1.622857,-0.6400,5.091
1.628571,-0.5000,5.829
1.634286,-0.5800,5.191
1.640000,-0.6000,4.751
1.645714,-0.6000,6.044
1.651429,-0.5600,4.602
1.657143,-0.6800,6.065
1.662857,-0.7200,7.525
1.668571,-0.6400,6.152
1.674286,-0.6600,4.421
1.680000,-0.7600,4.776
1.685714,-0.7200,6.273
1.691429,-0.7800,4.012
1.697143,-0.7800,7.242
1.702857,-0.9000,4.766
1.708571,-0.8200,5.166
1.714286,-0.8400,5.506
1.720000,-0.9000,8.909
1.725714,-0.9400,4.895
1.731429,-1.1800,4.313
1.737143,-1.0200,4.516
1.742857,-1.0600,5.789
1.748571,-1.1000,7.036
1.754286,-1.1800,3.779
1.760000,-1.1800,4.577
1.765714,-1.2000,4.737
1.771429,-1.2800,18.208
1.777143,-1.3200,6.801
1.782857,-1.2800,6.063
1.788571,-1.4400,6.700
1.794286,-1.3800,4.424
1.800000,-1.4800,3.684
1.805714,-1.5600,4.939
1.811429,-1.6000,4.103
1.817143,-1.6800,5.258
1.822857,-1.6400,6.272
1.828571,-1.7200,3.500
1.834286,-1.8200,5.886
1.840000,-1.9000,7.570
1.845714,-1.8800,3.529
1.851429,-1.9000,5.386
1.857143,-2.0200,3.587
1.862857,-2.0600,3.952
1.868571,-2.1600,5.137
1.874286,-2.2000,7.189
1.880000,-2.2800,6.931
1.885714,-2.3200,5.137
1.891429,-2.4600,6.232
1.897143,-2.4200,3.500
1.902857,-2.5400,4.577
1.908571,-2.5800,4.699
1.914286,-2.6800,5.688
1.920000,-2.7200,4.060
1.925714,-2.8800,3.938
1.931429,-2.8400,3.892
1.937143,-3.0600,5.683
1.942857,-3.1000,5.450
1.948571,-3.1200,4.560
1.954286,-3.1400,6.124
1.960000,-3.2800,4.831
1.965714,-3.3800,4.247
1.971429,-3.5200,4.167
1.977143,-3.5600,3.500
1.982857,-3.6200,5.197
1.988571,-3.6400,5.833
1.994286,-3.7800,5.598
2.000000,-3.9800,8.193
2.005714,-3.8800,4.578
2.011429,-4.1000,3.500
2.017143,-4.2200,19.480
2.022857,-4.2000,6.879
2.028571,-4.3600,4.059
2.034286,-4.4800,4.929
2.040000,-4.5600,4.412
2.045714,-4.6200,5.649
2.051429,-4.7200,4.596
2.057143,-4.9400,5.924
2.062857,-4.8600,6.180
2.068571,-5.0200,7.380
2.074286,-5.2000,4.505
2.080000,-5.3200,5.929
2.085714,-5.4400,6.251
2.091429,-5.4800,5.291
2.097143,-5.6200,6.948
2.102857,-5.7400,5.531
2.108571,-5.7800,5.172
2.114286,-5.9000,7.553
2.120000,-6.0600,4.076
2.125714,-6.1000,6.434
2.131429,-6.1800,4.119
2.137143,-6.4200,5.718
2.142857,-6.5000,5.980
2.148571,-6.5400,6.148
2.154286,-6.6600,6.743
2.160000,-6.8000,4.202
2.165714,-6.8800,3.505
2.171429,-7.1000,5.255
2.177143,-7.2200,5.391
2.182857,-7.3200,4.905
2.188571,-7.3800,7.994
2.194286,-7.5400,5.154
2.200000,-7.6400,3.500
2.205714,-7.7800,4.144
2.211429,-7.8600,5.569
2.217143,-8.0000,4.891
2.222857,-8.0400,6.426
2.228571,-8.1400,6.071
2.234286,-8.3000,6.107
2.240000,-8.4000,6.036
2.245714,-8.5400,5.984
2.251429,-8.5800,4.860
2.257143,-8.7200,6.878
2.262857,-8.7600,6.356
2.268571,-9.0000,4.165
2.274286,-9.0200,5.538
2.280000,-9.1200,6.252
2.285714,-9.2800,6.742
2.291429,-9.3200,5.575
2.297143,-9.5400,6.040
2.302857,-9.4600,3.500
2.308571,-9.7200,4.700
2.314286,-9.7200,5.011
2.320000,-9.9200,3.780
2.325714,-9.9000,4.998
2.331429,-10.0600,4.687
2.337143,-10.1400,3.608
2.342857,-10.2200,5.677
2.348571,-10.2600,4.208
2.354286,-10.4200,4.533
2.360000,-10.6400,6.164
2.365714,-10.6200,4.225
2.371429,-10.6400,6.681
2.377143,-10.7600,5.566
2.382857,-10.7800,4.001
2.388571,-10.8400,3.500
2.394286,-10.9800,5.098
2.400000,-11.1200,4.121
2.405714,-11.0400,3.583
2.411429,-11.1200,3.500
2.417143,-11.2600,4.378
2.422857,-11.2000,4.429
2.428571,-11.3800,5.194
2.434286,-11.4800,3.500
2.440000,-11.4800,4.365
2.445714,-11.4800,4.253
2.451429,-11.6200,4.095
2.457143,-11.5200,6.562
2.462857,-11.7200,5.326
2.468571,-11.6600,7.576
2.474286,-11.7200,5.950
2.480000,-11.8000,5.445
2.485714,-11.7600,6.507
2.491429,-11.9200,6.406
2.497143,-11.8000,3.500
2.502857,-11.9000,4.035
2.508571,-11.9600,4.729
2.514286,-11.9000,5.343
2.520000,-11.9000,5.338
2.525714,-11.9400,3.500
2.531429,-11.8800,5.453
2.537143,-11.9400,5.537
2.542857,-11.9400,3.921
2.548571,-12.0200,3.598
2.554286,-12.0000,5.684
2.560000,-11.9600,4.469
2.565714,-11.9800,6.020
2.571429,-11.9600,6.215
2.577143,-11.9400,5.451
2.582857,-11.9000,3.500
2.588571,-11.9400,3.931
2.594286,-11.9400,3.500
2.600000,-11.9400,4.389
2.605714,-11.9000,3.932
2.611429,-11.7800,6.876
2.617143,-11.8000,5.774
2.622857,-11.7200,4.702
2.628571,-11.8000,3.536
2.634286,-11.7800,7.167
2.640000,-11.7000,3.948
2.645714,-11.5400,3.500
2.651429,-11.5000,4.097
2.657143,-11.4800,3.500
2.662857,-11.4800,5.980
2.668571,-11.4000,3.768
2.674286,-11.3400,5.615
2.680000,-11.2800,6.807
2.685714,-11.3400,3.896
2.691429,-11.1800,4.858
2.697143,-11.0800,7.291
2.702857,-10.9200,4.678
2.708571,-10.9200,4.692
2.714286,-10.7800,4.626
2.720000,-10.8000,4.100
2.725714,-10.7200,4.047
2.731429,-10.8200,6.255
2.737143,-10.5200,6.488
2.742857,-10.4200,3.918
2.748571,-10.2800,7.408
2.754286,-10.3000,6.977
2.760000,-10.1800,4.629
2.765714,-10.1200,3.500
2.771429,-10.0600,3.774
2.777143,-9.9400,4.757
2.782857,-9.8200,4.710
2.788571,-9.6400,7.062
2.794286,-9.6200,3.500
2.800000,-9.5600,4.862
2.805714,-9.4000,4.769
2.811429,-9.3000,5.986
2.817143,-9.2400,4.719
2.822857,-9.0400,4.664
2.828571,-9.0800,4.977
2.834286,-8.9000,4.445
2.840000,-8.7400,5.660
2.845714,-8.7400,5.661
2.851429,-8.5400,3.955
2.857143,-8.3800,6.022
2.862857,-8.3200,5.395
2.868571,-8.3200,4.860
2.874286,-8.1600,6.174
2.880000,-7.9400,6.542
2.885714,-7.8800,4.081
2.891429,-7.7800,4.567
2.897143,-7.6400,5.129
2.902857,-7.5200,6.994
2.908571,-7.4800,5.479
2.914286,-7.3400,5.283
2.920000,-7.2000,7.405
2.925714,-7.1200,4.715
2.931429,-7.0000,6.174
2.937143,-6.8000,4.188
2.942857,-6.8000,5.116
2.948571,-6.5600,6.098
2.954286,-6.4400,4.140
2.960000,-6.5000,4.210
2.965714,-6.3200,4.842
2.971429,-6.1800,6.800
2.977143,-6.1200,3.500
2.982857,-6.0200,4.287
2.988571,-5.8800,6.190
2.994286,-5.7200,3.500
3.000000,-5.6800,7.270
3.005714,-5.4600,5.197
3.011429,-5.4200,7.406
3.017143,-5.3400,3.863
3.022857,-5.1600,5.993
3.028571,-5.0800,4.219
3.034286,-5.0000,19.217
3.040000,-4.9200,4.112
3.045714,-4.7200,4.238
3.051429,-4.6800,3.500
3.057143,-4.6200,3.500
3.062857,-4.6000,4.933
3.068571,-4.4000,7.836
3.074286,-4.3800,4.649
3.080000,-4.3000,4.416
3.085714,-4.1400,5.587
3.091429,-4.0200,4.196
3.097143,-3.8800,4.383
3.102857,-3.8400,3.500
3.108571,-3.7200,3.886
3.114286,-3.7400,6.293
3.120000,-3.5800,3.978
3.125714,-3.5000,5.243
3.131429,-3.3800,4.557
3.137143,-3.3200,3.957
3.142857,-3.2000,5.373
3.148571,-3.2000,5.992
3.154286,-3.0600,3.533
3.160000,-2.9800,5.419
3.165714,-3.0000,5.943
3.171429,-2.8400,4.633
3.177143,-2.8000,4.904
3.182857,-2.8000,5.006
3.188571,-2.5800,5.244
3.194286,-2.5800,3.646
3.200000,-2.5400,4.381
3.205714,-2.4400,5.496
3.211429,-2.3600,4.090
3.217143,-2.2200,4.896
3.222857,-2.2400,4.913
3.228571,-2.1400,4.065
3.234286,-2.0400,5.160
3.240000,-2.0200,6.569
3.245714,-1.9400,4.048
3.251429,-1.9400,25.150
3.257143,-1.8400,4.808
3.262857,-1.8200,3.551
3.268571,-1.7000,4.278
3.274286,-1.7600,3.500
3.280000,-1.7000,3.500
3.285714,-1.5400,5.402
3.291429,-1.5600,6.005
3.297143,-1.5200,18.281
3.302857,-1.4600,4.807
3.308571,-1.4400,6.147
3.314286,-1.3000,4.646
3.320000,-1.3800,4.118
3.325714,-1.2800,5.774
3.331429,-1.2200,4.698
3.337143,-1.2000,5.790
3.342857,-1.2000,5.351
3.348571,-1.1600,3.829
3.354286,-1.0600,3.679
3.360000,-1.1000,3.757
3.365714,-0.9800,4.209
3.371429,-1.0600,6.089
3.377143,-0.9600,4.865
3.382857,-0.9000,6.707
3.388571,-0.9400,5.655
3.394286,-0.8200,4.787
3.400000,-0.8200,3.972
3.405714,-0.8400,3.500
3.411429,-0.8400,6.302
3.417143,-0.8200,28.009
3.422857,-0.7000,4.720
3.428571,-0.7400,7.099
3.434286,-0.7200,4.923
3.440000,-0.6400,22.175
3.445714,-0.5000,6.369
3.451429,-0.5800,23.642
3.457143,-0.5200,4.455
3.462857,-0.5400,4.570
3.468571,-0.4800,3.500
3.474286,-0.5600,4.906
3.480000,-0.5000,4.976
3.485714,-0.4400,6.463
3.491429,-0.4400,5.773
3.497143,-0.4400,4.105
3.502857,-0.4400,5.968
3.508571,-0.4000,5.352
3.514286,-0.4200,6.879
3.520000,-0.4800,6.084
3.525714,-0.4000,4.876
3.531429,-0.3200,6.252
3.537143,-0.2400,4.552
3.542857,-0.2200,3.849
3.548571,-0.2800,5.291
3.554286,-0.2400,5.668
3.560000,-0.2200,6.255
3.565714,-0.3000,4.965
3.571429,-0.3400,5.070
3.577143,-0.2400,5.870
3.582857,-0.3200,4.913
3.588571,-0.2400,6.932
3.594286,-0.1800,3.500
3.600000,-0.2600,3.500
3.605714,-0.1800,25.222
3.611429,-0.1200,6.330
3.617143,-0.1600,4.890
3.622857,-0.1400,3.500
3.628571,-0.1200,5.932
3.634286,-0.0600,3.651
3.640000,-0.1400,6.540
3.645714,-0.0800,6.086
3.651429,-0.1400,6.806
3.657143,-0.1600,6.505
3.662857,-0.1000,6.314
3.668571,-0.1400,5.859
3.674286,-0.1400,4.628
3.680000,-0.1400,4.879
3.685714,-0.2200,5.017
3.691429,-0.0800,5.237
3.697143,-0.1600,4.355
3.702857,-0.1000,4.123
3.708571,-0.0000,6.704
3.714286,-0.1000,3.595
3.720000,-0.1000,6.296
3.725714,-0.0000,7.443
3.731429,-0.0400,3.780
3.737143,-0.0200,6.669
3.742857,-0.0800,4.863
3.748571,-0.0200,6.759
3.754286,-0.0800,4.326
3.760000,-0.0800,6.555
3.765714,-0.0200,4.176
3.771429,-0.0800,3.500
3.777143,-0.0000,7.124
3.782857,0.0800,4.000
3.788571,-0.1200,3.500
3.794286,-0.0800,5.042
3.800000,0.0200,4.624
3.805714,-0.0400,6.429
3.811429,0.0200,3.962
3.817143,-0.0800,4.477
3.822857,-0.0200,5.950
3.828571,-0.0400,4.137
3.834286,-0.0200,6.242
3.840000,-0.0000,6.290
3.845714,-0.0800,7.383
3.851429,-0.0800,7.521
3.857143,0.0400,4.133
3.862857,-0.0000,4.141
3.868571,-0.0200,3.904
3.874286,-0.0200,4.980
3.880000,0.0000,4.849
3.885714,-0.0800,4.740
3.891429,-0.0600,3.622
3.897143,0.0600,6.561
3.902857,-0.0000,3.500
3.908571,0.0200,4.355
3.914286,-0.0400,5.960
3.920000,0.0600,5.753
3.925714,0.0000,4.752
3.931429,0.0200,6.142
3.937143,0.0200,4.604
3.942857,-0.0400,7.378
3.948571,-0.1000,6.258
3.954286,-0.0600,4.102
3.960000,0.0800,6.030
3.965714,0.0600,4.737
3.971429,-0.0200,5.462
3.977143,-0.0200,6.468
3.982857,0.0400,4.010
3.988571,-0.0200,6.687
3.994286,-0.0800,30.085
4.000000,0.0600,6.313
4.005714,0.0200,5.531
4.011429,-0.1400,4.339
4.017143,-0.0200,3.500
4.022857,0.0000,3.531
4.028571,0.0200,5.357
4.034286,0.0000,3.695
4.040000,-0.0400,4.407
4.045714,-0.0000,4.704
4.051429,0.0200,4.231
4.057143,-0.0200,4.464
4.062857,-0.0200,5.729
4.068571,0.0600,6.343
4.074286,-0.0400,5.560
4.080000,-0.0200,5.774
4.085714,-0.1000,5.641
4.091429,0.0200,4.474
4.097143,0.0400,5.223
4.102857,0.0200,3.500
4.108571,0.0400,5.097
4.114286,0.0200,4.487
4.120000,0.0200,6.485
4.125714,0.0200,3.500
4.131429,-0.0200,3.716
4.137143,0.0600,7.735
4.142857,-0.0200,5.882
4.148571,-0.0800,6.659
4.154286,0.0400,4.054
4.160000,0.1000,3.500
4.165714,-0.0400,5.579
4.171429,-0.0000,5.192
4.177143,-0.0400,5.653
4.182857,-0.0200,6.856
4.188571,0.0000,6.025
4.194286,-0.0600,3.500
4.200000,-0.0200,4.388
4.205714,-0.0800,3.500
4.211429,-0.0200,5.656
4.217143,-0.0600,4.442
4.222857,-0.0600,3.500
4.228571,-0.0800,5.431
4.234286,0.0600,3.673
4.240000,0.0200,6.210
4.245714,-0.1000,5.861
4.251429,-0.0400,7.682
4.257143,-0.0400,4.097
4.262857,-0.0400,6.145
4.268571,-0.0800,4.459
4.274286,0.0400,3.555
4.280000,-0.0200,7.230
4.285714,0.0200,3.726
4.291429,0.0200,6.981
4.297143,0.0600,4.574
4.302857,-0.1000,5.869
4.308571,0.0800,4.488
4.314286,0.0600,4.072
4.320000,0.0200,3.920
4.325714,0.1200,4.499
4.331429,0.0200,5.295
4.337143,0.0400,6.682
4.342857,-0.0400,4.048
4.348571,0.0600,5.034
4.354286,0.0000,4.677
4.360000,-0.0200,4.899
4.365714,0.1000,3.772
4.371429,-0.0200,3.500
4.377143,0.0000,4.437
4.382857,-0.0000,4.961
4.388571,-0.0400,7.886
4.394286,0.0200,6.798
4.400000,0.0400,4.514
4.405714,0.0200,3.500
4.411429,-0.1200,3.500
4.417143,0.0600,6.132
4.422857,-0.0200,6.445
4.428571,-0.0600,7.492
4.434286,0.0400,4.685
4.440000,0.0200,5.467
4.445714,-0.0600,4.589
4.451429,0.1200,6.710
4.457143,-0.0600,6.114
4.462857,-0.0800,4.071
4.468571,-0.0600,5.203
4.474286,0.0800,3.801
4.480000,-0.0000,5.133
4.485714,-0.0200,3.500
4.491429,-0.0000,5.236
4.497143,-0.0200,6.431
4.502857,-0.0400,6.517
4.508571,-0.0400,3.513
4.514286,0.0400,5.061
4.520000,0.0600,3.500
4.525714,-0.0600,6.310
4.531429,0.0200,5.489
4.537143,0.0400,3.638
4.542857,-0.0600,3.904
4.548571,-0.0200,5.671
4.554286,-0.0600,3.500
4.560000,-0.0600,5.083
4.565714,0.0000,5.434
4.571429,-0.0400,4.208
4.577143,0.0400,4.681
4.582857,-0.0000,5.108
4.588571,0.0200,5.693
4.594286,-0.0200,3.502
4.600000,-0.0400,4.326
4.605714,-0.0000,5.961
4.611429,-0.0000,3.500
4.617143,-0.0400,21.795
4.622857,0.0200,28.585
4.628571,0.0400,7.276
4.634286,0.0000,3.500
4.640000,0.0800,4.449
4.645714,-0.0400,4.223
4.651429,0.0200,6.742
4.657143,-0.0200,5.801
4.662857,0.0200,6.229
4.668571,-0.0400,5.882
4.674286,0.0600,3.500
4.680000,0.0000,5.504
4.685714,0.0600,3.500
4.691429,-0.0600,5.530
4.697143,-0.0200,5.241
4.702857,-0.0400,4.784
4.708571,-0.0200,5.286
4.714286,-0.0400,5.858
4.720000,-0.0000,4.062
4.725714,-0.0000,5.430
4.731429,-0.0000,6.747
4.737143,-0.0200,5.475
4.742857,0.0000,5.277
4.748571,0.0400,4.983
4.754286,-0.0400,3.500
4.760000,-0.0000,6.714
4.765714,-0.0000,4.505
4.771429,0.0200,5.048
4.777143,-0.0000,4.642
4.782857,-0.0000,4.573
4.788571,-0.0600,4.292
4.794286,0.0000,4.155
4.800000,-0.0400,6.119
4.805714,0.0200,6.639
4.811429,-0.0000,5.291
4.817143,0.0000,3.614
4.822857,-0.0400,4.921
4.828571,0.0400,7.665
4.834286,0.0400,5.375
4.840000,0.0400,4.765
4.845714,0.1000,4.017
4.851429,-0.0000,5.636
4.857143,0.0600,4.713
4.862857,-0.0000,6.541
4.868571,0.0200,6.304
4.874286,0.0200,5.617
4.880000,0.0000,5.090
4.885714,0.0200,5.646
4.891429,-0.0200,5.379
4.897143,-0.0000,4.719
4.902857,0.0200,6.596
4.908571,0.0800,4.889
4.914286,-0.0400,4.358
4.920000,-0.1000,3.500
4.925714,-0.0400,4.742
4.931429,-0.0000,3.500
4.937143,-0.0000,5.915
4.942857,-0.0000,4.033
4.948571,0.0400,3.902
4.954286,0.0400,3.500
4.960000,-0.0200,5.331
4.965714,-0.0400,4.636
4.971429,-0.0400,5.840
4.977143,-0.0400,3.886
4.982857,-0.0400,6.227
4.988571,-0.1000,5.886
4.994286,-0.0600,30.891
5.000000,-0.0600,4.454
5.005714,-0.0400,6.355
5.011429,-0.0400,4.021
5.017143,-0.0000,5.127
5.022857,-0.0800,4.717
5.028571,-0.0600,6.668
5.034286,-0.0200,5.524
5.040000,-0.0600,7.353
5.045714,-0.0600,5.480
5.051429,-0.0400,5.216
5.057143,-0.0600,4.922
5.062857,-0.0600,5.330
5.068571,-0.1000,4.141
5.074286,-0.0600,3.722
5.080000,-0.1000,4.364
5.085714,-0.1400,4.570
5.091429,-0.1200,4.389
5.097143,-0.1800,7.626
5.102857,-0.1800,4.791
5.108571,-0.2400,4.652
5.114286,-0.2000,6.517
5.120000,-0.1000,6.089
5.125714,-0.2200,4.133
5.131429,-0.1600,6.033
5.137143,-0.2200,6.224
5.142857,-0.2800,4.010
5.148571,-0.1800,4.843
5.154286,-0.2400,5.864
5.160000,-0.3800,6.095
5.165714,-0.2600,4.117
5.171429,-0.4000,6.446
5.177143,-0.3800,5.665
5.182857,-0.3600,3.911
5.188571,-0.4400,4.719
5.194286,-0.4000,7.210
5.200000,-0.4400,5.479
5.205714,-0.6000,3.500
5.211429,-0.5800,3.516
5.217143,-0.5800,6.820
5.222857,-0.6600,4.941
5.228571,-0.6800,5.208
5.234286,-0.6800,3.605
5.240000,-0.7600,6.853
5.245714,-0.8600,4.867
5.251429,-0.8600,4.280
5.257143,-0.9600,4.856
5.262857,-1.0600,8.616
5.268571,-1.1200,5.039
5.274286,-1.1000,5.452
5.280000,-1.2000,3.500
5.285714,-1.2600,4.248
5.291429,-1.4000,3.500
5.297143,-1.4200,6.151
5.302857,-1.5600,4.185
5.308571,-1.6400,4.464
5.314286,-1.7000,5.153
5.320000,-1.8600,5.438
5.325714,-1.8400,7.475
5.331429,-1.8600,5.031
5.337143,-2.0800,6.270
5.342857,-2.2600,4.146
5.348571,-2.3400,3.810
5.354286,-2.5400,4.146
5.360000,-2.6000,4.932
5.365714,-2.7000,5.312
